 DLIR/ICA      | 2019-02-28 |  10295633 |  10301661 |     6029
 FO-ELECTRONIC | 2019-02-28 |  10272577 |  10295632 |    23056
 DLIR/ICA      | 2019-03-04 |  10400191 |  10452274 |    11123
 FO-ELECTRONIC | 2019-03-04 |  10379472 |  10446735 |    43977
 FO-PAPER      | 2019-03-04 |  10405775 |  10405996 |      222
 Remit         | 2019-03-04 |  10405997 |  10454291 |     4128
 DLIR/ICA      | 2019-03-06 |  10551924 |  10565747 |    13824
 FO-ELECTRONIC | 2019-03-06 |  10514431 |  10551923 |    37493
 FO-PAPER      | 2019-03-06 |  10565748 |  10566120 |      373
 Remit         | 2019-03-06 |  10566121 |  10573238 |     7118
 DLIR/ICA      | 2019-03-07 |  10654188 |  10661197 |     7010
 FO-ELECTRONIC | 2019-03-07 |  10604251 |  10654187 |    49937
 FO-PAPER      | 2019-03-07 |  10661198 |  10661326 |      129
 Remit         | 2019-03-07 |  10661327 |  10663878 |     2552
 DLIR/ICA      | 2019-03-08 |  10717681 |  10723244 |     5564
 FO-ELECTRONIC | 2019-03-08 |  10696021 |  10717680 |    21660
 FO-PAPER      | 2019-03-08 |  10723245 |  10723359 |      115
 Remit         | 2019-03-08 |  10723360 |  10727377 |     4018
 FO-ELECTRONIC | 2019-03-11 |  10779431 |  10803560 |    24129
 FO-PAPER      | 2019-03-11 |  10803561 |  10803659 |       99
 DLIR/ICA      | 2019-03-12 |  10837991 |  10849419 |    11429
 Remit         | 2019-03-12 |  10849420 |  10850801 |     1382
 DLIR/ICA      | 2019-03-13 |  10917583 |  10925790 |     8208
 FO-ELECTRONIC | 2019-03-13 |  10880229 |  10917582 |    37354
 FO-PAPER      | 2019-03-13 |  10925791 |  10926054 |      264
 Remit         | 2019-03-13 |  10926055 |  10927980 |     1926
 DLIR/ICA      | 2019-03-14 |  10977533 |  10987890 |    10358
 FO-ELECTRONIC | 2019-03-14 |  10953039 |  10977532 |    24494
 FO-PAPER      | 2019-03-14 |  10987891 |  10987999 |      109
 Remit         | 2019-03-14 |  10988000 |  10989788 |     1789
 DLIR/ICA      | 2019-03-15 |  11067141 |  11071939 |     4799
 FO-ELECTRONIC | 2019-03-15 |  11022056 |  11067140 |    45084
 FO-PAPER      | 2019-03-15 |  11071940 |  11072052 |      113
 DLIR/ICA      | 2019-03-18 |  11125141 |  11135083 |     9943
 FO-PAPER      | 2019-03-18 |  11135084 |  11135171 |       88
 Remit         | 2019-03-18 |  11135172 |  11140038 |     4867
 DLIR/ICA      | 2019-03-19 |  11229589 |  11234407 |     4819
 FO-ELECTRONIC | 2019-03-19 |  11172430 |  11229588 |    57159
 DLIR/ICA      | 2019-03-20 |  11290171 |  11296946 |     6776
 FO-ELECTRONIC | 2019-03-20 |  11265901 |  11290170 |    24270
 FO-PAPER      | 2019-03-20 |  11302273 |  11302361 |       89
 Remit         | 2019-03-20 |  11296947 |  11302272 |     5326
 DLIR/ICA      | 2019-03-21 |  11356330 |  11362550 |     6221
 FO-ELECTRONIC | 2019-03-21 |  11332784 |  11356329 |    23546
 FO-PAPER      | 2019-03-21 |  11362551 |  11362693 |      143
 Remit         | 2019-03-21 |  11362694 |  11367682 |     4989
 DLIR/ICA      | 2019-03-22 |  11393450 |  11403712 |    10263
 FO-ELECTRONIC | 2019-03-22 |  11403713 |  11424959 |    21247
 DLIR/ICA      | 2019-03-25 |  11503704 |  11508646 |     4943
 FO-ELECTRONIC | 2019-03-25 |  11480829 |  11503703 |    22875
 FO-PAPER      | 2019-03-25 |  11508647 |  11508893 |      247
 Remit         | 2019-03-25 |  11508894 |  11514164 |     5271
 FO-PAPER      | 2019-03-26 |  11549831 |  11549920 |       90
 DLIR/ICA      | 2019-03-27 |  11639445 |  11647348 |     7904
 FO-ELECTRONIC | 2019-03-27 |  11578632 |  11639444 |    60813
 Remit         | 2019-03-27 |  11647349 |  11651343 |     3995
 DLIR/ICA      | 2019-03-28 |  11703018 |  11706687 |     3670
 FO-ELECTRONIC | 2019-03-28 |  11679156 |  11703017 |    23862
 FO-PAPER      | 2019-03-28 |  11706688 |  11706816 |      129
 Remit         | 2019-03-28 |  11706817 |  11709024 |     2208
 FO-ELECTRONIC | 2019-03-29 |  11744300 |  11770294 |    21721
 FO-PAPER      | 2019-03-29 |  11765989 |  11770324 |     1179
 Remit         | 2019-03-29 |  11766176 |  11767988 |     1813
 DLIR/ICA      | 2019-04-02 |  11820649 |  11832569 |    11921
 FO-PAPER      | 2019-04-02 |  11832570 |  11832651 |       82
 Remit         | 2019-04-02 |  11832652 |  11835883 |     3232
 DLIR/ICA      | 2019-04-03 |  11869484 |  11879899 |    10416
 FO-ELECTRONIC | 2019-04-03 |  11879900 |  11938498 |    58599
 DLIR/ICA      | 2019-04-04 |  12016032 |  12020647 |     4616
 FO-ELECTRONIC | 2019-04-04 |  11966327 |  12016031 |    49705
 FO-PAPER      | 2019-04-04 |  12020648 |  12020862 |      215
 Remit         | 2019-04-04 |  12020863 |  12024206 |     3344
 DLIR/ICA      | 2019-04-05 |  12060265 |  12067123 |     6859
 Remit         | 2019-04-05 |  12067124 |  12071180 |     4057
 DLIR/ICA      | 2019-04-08 |  12114018 |  12131657 |    17640
 FO-ELECTRONIC | 2019-04-08 |  12088862 |  12114017 |    25156
 FO-PAPER      | 2019-04-08 |  12131658 |  12131859 |      202
 FO-ELECTRONIC | 2019-04-09 |  12194090 |  12219673 |    25584
 FO-PAPER      | 2019-04-09 |  12193976 |  12194089 |      114
 DLIR/ICA      | 2019-04-10 |  12233367 |  12262513 |    29147
 FO-ELECTRONIC | 2019-04-10 |  12229478 |  12229489 |       12
 Remit         | 2019-04-10 |  12229490 |  12233366 |     3877
 DLIR/ICA      | 2019-04-11 |  12265468 |  12268392 |     2925
 FO-PAPER      | 2019-04-11 |  12268393 |  12268486 |       94
 DLIR/ICA      | 2019-04-12 |  12271052 |  12273589 |     2538
 DLIR/ICA      | 2019-04-15 |  12280032 |  12286234 |     6203
 FO-PAPER      | 2019-04-15 |  12279824 |  12280031 |      208
 DLIR/ICA      | 2019-04-17 |  12308366 |  12314449 |     6084
 Remit         | 2019-04-17 |  12304544 |  12308365 |     3822
 DLIR/ICA      | 2019-04-18 |  12473830 |  12476133 |     2304
 Remit         | 2019-04-18 |  12476134 |  12481808 |     5675
 DLIR/ICA      | 2019-04-19 |  12580632 |  12583569 |     2938
 FO-ELECTRONIC | 2019-04-19 |  12505384 |  12580631 |    75248
 FO-PAPER      | 2019-04-19 |  12583570 |  12583570 |        1
 FO-ELECTRONIC | 2019-04-20 |  12586427 |  12681403 |    94550
 FO-PAPER      | 2019-04-20 |  12586559 |  12681137 |      420
 DLIR/ICA      | 2019-04-22 |  12782976 |  12785805 |     2830
 FO-ELECTRONIC | 2019-04-22 |  12690121 |  12782975 |    92855
 Remit         | 2019-04-22 |  12785806 |  12797148 |    11343
 DLIR/ICA      | 2019-04-23 |  12881871 |  12886903 |     5033
 FO-PAPER      | 2019-04-23 |  12870149 |  12893030 |      241
 Remit         | 2019-04-23 |  12886904 |  12898215 |    10102
 DLIR/ICA      | 2019-04-24 |  12922729 |  12925553 |     2825
 FO-PAPER      | 2019-04-24 |  12925554 |  12925770 |      217
 DLIR/ICA      | 2019-04-25 |  13055812 |  13058457 |     2646
 FO-ELECTRONIC | 2019-04-25 |  12954052 |  13055811 |   101760
 FO-PAPER      | 2019-04-25 |  13058458 |  13058553 |       96
 DLIR/ICA      | 2019-04-26 |  13107916 |  13112511 |     4596
 FO-ELECTRONIC | 2019-04-26 |  13085790 |  13107915 |    22126
 FO-PAPER      | 2019-04-26 |  13112512 |  13112602 |       91
 Remit         | 2019-04-26 |  13112603 |  13118109 |     5507
 DLIR/ICA      | 2019-04-29 |  13189119 |  13198531 |     9413
 FO-ELECTRONIC | 2019-04-29 |  13165950 |  13189118 |    23169
 Remit         | 2019-04-29 |  13198532 |  13203231 |     4700
 DLIR/ICA      | 2019-04-30 |  13266268 |  13272336 |     6069
 FO-ELECTRONIC | 2019-04-30 |  13233353 |  13266267 |    32915
 FO-PAPER      | 2019-04-30 |  13272337 |  13272503 |      167
 Remit         | 2019-04-30 |  13272504 |  13274223 |     1720
 DLIR/ICA      | 2019-05-01 |  13324177 |  13329180 |     5004
